ntel Core i9 Extreme i9-9980XE 18-Core 3.0GHz LGA-2066 Processor NEW R20,000;Cape Town City Center;1 Year;R20,000;NEW;Open;2020-08-14T07:50:32+0200;https://carbonite.co.za/index.php?threads/ntel-core-i9-extreme-i9-9980xe-18-core-3-0ghz-lga-2066-processor-new-r20-000.310491/
ROG Rampage VI Extreme Omega;Brakpan;10 months;R13 500;Still new and in warranty;Open;2020-07-31T18:19:29+0200;https://carbonite.co.za/index.php?threads/rog-rampage-vi-extreme-omega.308064/
2 x i7 950 and 2x i5 750;sunward park boksburg;not sure;i7 R350 each i5 R200 each;used but working;Open;2020-12-29T10:41:44+0200;https://carbonite.co.za/index.php?threads/2-x-i7-950-and-2x-i5-750.335942/
i9-7900X (Extreme Edition CPU) 10 core 20 thread;Blouberg, Cape Town;Just under 2 Years;12k combo;Used but working perfectly;Open;2020-11-01T11:01:24+0200;https://carbonite.co.za/index.php?threads/i9-7900x-extreme-edition-cpu-10-core-20-thread.324554/
i5 4590;Port Shepstone;2 years;R850;very good;Open;2020-06-17T10:21:40+0200;https://carbonite.co.za/index.php?threads/i5-4590.300270/
Intel I9-7900X CPU;Pretoria North;+-2year;R10000 neg;good condition;Open;2020-09-01T13:51:14+0200;https://carbonite.co.za/index.php?threads/intel-i9-7900x-cpu.313690/
Gigabyte z390 Aorus Pro Wifi + 8700K CPU for Sale;Centurion;Motherboard (6 Months) - CPU (2 years);R 9000.00;Excellent, Used;Open;2020-11-25T20:51:46+0200;https://carbonite.co.za/index.php?threads/gigabyte-z390-aorus-pro-wifi-8700k-cpu-for-sale.329752/
Intel Core i9 7900x;Sea Point, Cape Town;2.5 years;R9500 neg;Used - in working condition;Open;2020-05-20T13:29:11+0200;https://carbonite.co.za/index.php?threads/intel-core-i9-7900x.295689/
i9-7900X (Extreme Edition CPU);Brackenfell, Cape Town;Just under 2 Years;R9500 neg;Used but working perfectly;Open;2020-08-21T15:15:21+0200;https://carbonite.co.za/index.php?threads/i9-7900x-extreme-edition-cpu.311805/
Brand new (SEALED) i9 9900K CPUs;Cape Town;Brand new;R8000 each;new;Open;2020-06-25T20:32:55+0200;https://carbonite.co.za/index.php?threads/brand-new-sealed-i9-9900k-cpus.301747/
I9 9900K for sale;CPT;6 months;R7999;sexy;Open;2020-06-10T18:40:34+0200;https://carbonite.co.za/index.php?threads/i9-9900k-for-sale.299255/
i9 9900k;Pretoria;A Few Months;7999;Perfect;Open;2020-09-29T21:48:58+0200;https://carbonite.co.za/index.php?threads/i9-9900k.318742/
Intel i9 9900K - R7800 New sealed;Jhb, Alberton;New sealed;R7800 each X10;new;Open;2020-06-25T16:47:19+0200;https://carbonite.co.za/index.php?threads/intel-i9-9900k-r7800-new-sealed.301702/
Intel 9700K CPU and Asus Rog Maximus Hero XI Z390 Motherboard Combo;Cape Town;7 months old (Purchased on 19th March 2020 from Evetech);R7500;Excellent;Open;2020-11-17T18:08:12+0200;https://carbonite.co.za/index.php?threads/intel-9700k-cpu-and-asus-rog-maximus-hero-xi-z390-motherboard-combo.327941/
i9 9900k - 7250;Centurion;New;7250;Excellent;Open;2020-10-16T13:40:45+0200;https://carbonite.co.za/index.php?threads/i9-9900k-7250.321816/
2 Intel CPU;Johannesburg;1 year both used for about 3 months each;3000 , 4000;great .;Open;2020-06-29T11:34:26+0200;https://carbonite.co.za/index.php?threads/2-intel-cpu.302277/
i9900k for sale;Pretoria;1.5 years;R7000;Excellent;Open;2020-11-30T19:29:02+0200;https://carbonite.co.za/index.php?threads/i9900k-for-sale.330823/
1151 CPUs. I5 6500, i7 6700, i3 9100f;Krugersdoorp;na;bundle R6800;good;Open;2021-01-09T08:28:19+0200;https://carbonite.co.za/index.php?threads/1151-cpus-i5-6500-i7-6700-i3-9100f.337819/
Intel Core i9 - 9900K;Gauteng, Pretoria;2 months;R6750;Excellent;Open;2020-03-03T21:50:14+0200;https://carbonite.co.za/index.php?threads/intel-core-i9-9900k.287790/
