ntel Core i9 Extreme i9-9980XE 18-Core 3.0GHz LGA-2066 Processor NEW R20,000;Cape Town City Center;1 Year;R20,000;NEW;Open;2020-08-14T07:50:32+0200
ROG Rampage VI Extreme Omega;Brakpan;10 months;R13 500;Still new and in warranty;Open;2020-07-31T18:19:29+0200
Intel I9-7900X CPU;Pretoria North;+-2year;R10000 neg;good condition;Open;2020-09-01T13:51:14+0200
i9-7900X (Extreme Edition CPU) 10 core 20 thread;Blouberg, Cape Town;Just under 2 Years;12k combo;Used but working perfectly;Open;2020-11-01T11:01:24+0200
2 x i7 950 and 2x i5 750;sunward park boksburg;not sure;i7 R350 each i5 R200 each;used but working;Open;2020-12-29T10:41:44+0200
i5 4590;Port Shepstone;2 years;R850;very good;Open;2020-06-17T10:21:40+0200
Gigabyte z390 Aorus Pro Wifi + 8700K CPU for Sale;Centurion;Motherboard (6 Months) - CPU (2 years);R 9000.00;Excellent, Used;Open;2020-11-25T20:51:46+0200
Brand new (SEALED) i9 9900K CPUs;Cape Town;Brand new;R8000 each;new;Open;2020-06-25T20:32:55+0200
i9-7900X (Extreme Edition CPU);Brackenfell, Cape Town;Just under 2 Years;R9500 neg;Used but working perfectly;Open;2020-08-21T15:15:21+0200
Intel Core i9 7900x;Sea Point, Cape Town;2.5 years;R9500 neg;Used - in working condition;Open;2020-05-20T13:29:11+0200
I9 9900K for sale;CPT;6 months;R7999;sexy;Open;2020-06-10T18:40:34+0200
i9 9900k;Pretoria;A Few Months;7999;Perfect;Open;2020-09-29T21:48:58+0200
Intel i9 9900K - R7800 New sealed;Jhb, Alberton;New sealed;R7800 each X10;new;Open;2020-06-25T16:47:19+0200
Intel 9700K CPU and Asus Rog Maximus Hero XI Z390 Motherboard Combo;Cape Town;7 months old (Purchased on 19th March 2020 from Evetech);R7500;Excellent;Open;2020-11-17T18:08:12+0200
i9 9900k - 7250;Centurion;New;7250;Excellent;Open;2020-10-16T13:40:45+0200
i9900k for sale;Pretoria;1.5 years;R7000;Excellent;Open;2020-11-30T19:29:02+0200
2 Intel CPU;Johannesburg;1 year both used for about 3 months each;3000 , 4000;great .;Open;2020-06-29T11:34:26+0200
1151 CPUs. I5 6500, i7 6700, i3 9100f;Krugersdoorp;na;bundle R6800;good;Open;2021-01-09T08:28:19+0200
Intel Core i9 - 9900K;Gauteng, Pretoria;2 months;R6750;Excellent;Open;2020-03-03T21:50:14+0200
Intel i9-9900k CPU;Milnerton, Cape Town;10 months old;R6,500.00;I have been using it but clock speed remains untouched. Excellent condition.;Open;2020-10-05T17:30:03+0200
Intel i9-9900k CPU;Milnerton, Cape Town;10 months old;R6,500.00;I have been using it but clock speed remains untouched. Excellent condition.;Open;2020-10-05T17:33:14+0200
Intel Core i9 9900K;Centurion;1 Year 8months;6500;Used , but excellent condition;Open;2020-11-03T15:23:55+0200
i9 9900K - R6500;Kempton Park;Not 100% sure, bought from a fellow Carbie believed to be +- 4 months old;R6500.00;Excellent;Open;2020-11-17T10:10:18+0200
Intel 10700k I7;Pretoria or Midrand;6 days;6500;Brand new;Open;2020-11-20T16:44:36+0200
SOLD Intel Comet Lake LGA1200 i7-10700K;Rooihuiskraal in Centurion;4 months;R6500;New;Open;2020-11-08T08:44:50+0200
Intel i7-9700K with cooler master air cooler;pretoria;1 year;R6000;10/10;Open;2021-02-01T21:02:47+0200
Intel i9 9900k (golden sample);Pretoria;1 year;R6500;excellent;Open;2020-11-19T07:40:57+0200
Intel i9-9900K;Randburg;18 months;R6300;Excellent;Open;2020-10-29T11:11:41+0200
i5 8400 + B360-G + 24gb/16gb ram - 6k;Brakpan - East Rand;cpu(unknown), mb(1 year), Corsair ram(1 week), Ballistix(unknown);R6000;Great;Open;2020-06-11T08:06:46+0200
Intel i7 9700K X10 R5899;Jhb, Alberton;New sealed;R5900 each;new;Open;2020-06-01T18:42:43+0200
Intel 10700KA Avengers Edition CPU (Game not included);MIDRAND, JOHANNESBURG;BRAND NEW;R 6200;BRAND NEW;Open;2020-11-27T21:52:20+0200
Intel i7 9700K;Centurion Golf Estates Highveld;over 5 months;R 5500 non neg;Excellent never done overclocking and all that other bullshit;Open;2020-03-17T17:46:18+0200
I5 7640x;Kraaifontein;3 Months;R5500;Excellent;Open;2020-07-04T20:45:17+0200
1 Week old 9700K;Amanzimtoti, Durban;1 week, warranty replacement;R4500;Excellent.;Open;2020-11-02T11:31:11+0200
8700K + Asus Z370 Pro;Pretoria;2.5 years;R4200 for CPU and R1800 for motherboard or R5500 for both;Excellent (water-cooled);Open;2020-11-16T21:48:59+0200
Core i9 7900x;Jhb;2 Years;5500;excellent;Open;2020-12-29T10:09:44+0200
Intel 8700k and ASUS ROG MAXIMUS X HERO Combo;Midrand;2 Years;5500;Excellent;Open;2020-12-06T20:37:05+0200
Intel i7 9700K x20 R5100;Jhb, Alberton;New sealed;R5100 each;new;Open;2020-08-06T10:36:31+0200
9700k;Johannesburg;+ / - 4 months;R5000 Slightly neg;Great;Open;2020-07-01T16:23:29+0200
LGA2011v3 (X99)- Intel Xeon E5 2699v3 (18C, 36T) (x2);JHB/PTA;1 yr;R5k each neg, or GPU Trades;Excellent;Open;2020-05-06T21:11:28+0200
I7 9700K;Centurion;5 months;R5000;Good working order;Open;2020-08-13T20:46:42+0200
Brand new (SEALED) i7 9700k CPUs;Cape Town;Brand new;R5000;brand new;Open;2020-06-25T20:37:02+0200
Intel 6950X;Pta;n/a;5000;Excellent;Open;2020-11-11T19:38:46+0200
Intel i7 9700k;East London;22 May 2020;R5000;Perfect;Open;2020-11-14T15:51:28+0200
9700K;Vaal;about 6 months;R5000;Perfect;Open;2020-11-12T09:18:10+0200
i5 10600k;Fish Hoek;1 month;R5000;New;Open;2020-12-23T08:46:48+0200
i7 9700k with cooler - sold;Pretoria;2 years;R5000;Great;Open;2021-01-01T13:58:25+0200
Intel Core i5 9600k and ASUS TUF Motherboard Combo;Brackenfell, Cape Town;1.5 Years;R5,500;Used, Great condition;Open;2020-12-20T14:56:31+0200
i7 9700K;Cape Town;2 years;4800;Excellent;Open;2021-01-21T21:14:25+0200
Intel i7 - 9700k gots to go;Somerset West;21 Oct 2019;R 4, 750 slightly neg;Perfect;Open;2020-11-18T15:01:35+0200
